Fiber Optics,الألياف البصرية,Al-Alyaf Al-Basariyah, 
Latency,تأخير الإشارة,Ta'kheer al-ishara, 
Humidity,رطوبة,Rutooba, 
Temperature,حرارة,Harara, 
Degree,درجة,Daraja, 
Celsius,مئوي,Mi'awi, 
Piece,حبة,Habba, 
Dozen,درزن,Darzan, 
Box,كرتون,Carton, 
Pallet,طبلية,Tabliya, 
Length,طول,Tool, 
Width,عرض,Ardh, 
Height,ارتفاع,Irtifa', 
Depth,عمق,Omuq, 
Thickness,سماكة,Samaka, 
Count,عدد,Adad, 
Rate,معدal,Mu'addal, 
Volume,حجم,Hajm, 
Weight,وزن,Wazn, 
Area,مساحة,Misaha, 
Once,مرة واحدة,Marra waheda, 
Twice,مرتين,Marratain, 
 , 
, 
, 
, 
, 
