Order,ALA-LC,English,Español
892,بنية,bunnīyah,structure
893,ذهبي,dhahabuy,golden
894,أخطأ,akhṭa’,mistake
895,مجوهرات,mujawharāt,Jewelery
896,جمهور,jumhūr,public
897,حزمة,ḥzmh,Pack
898,مرر,marrar,pass
899,طبي,ṭubī,medical
900,نسي,nasī,forgotten
901,اعتمد,āi‘tamad,rely
902,جدار,jidār,Wall
903,اقتراح,āiqtirāḥ,Suggestion
904,أفعى,f‘á,snake
905,اختلاف,āikhtilāf,difference
906,شم,shamm,Sniff
907,عشب,‘ashib,Grass
908,معدة,mu‘iddah,stomach
909,صينية,ṣīnīyah,tray
910,تمنى,tamanná,He wished
911,فاكهة,fākihah,fruit
912,مطر,maṭar,rain
913,كهربائي,kahrabā’ī,Electrician
914,بيئة,bī’ah,environment
915,برهان,burhān,proof
916,أعزب,a‘zib,Unmarried
917,أساسي,asāsī,Basic
918,فرع,fari‘,a branch
919,نحلة,nḥlh,Bee
920,ربيع,rabī‘,spring
921,جلس,jalas,he sat
922,قرن,qaran,a century
923,مشابه,mushābih,similar
924,ارتفع,āirtafa‘,Has risen
925,وسادة,wasādah,Pillow
926,أقفل,aqfil,CLOSED
927,اتحاد,āittiḥād,union
928,أنبوب,anubawwib,the tube
929,طار,ṭār,Flew
930,بطيء,baṭī’,slow
931,متواضع,mutawāḍi‘,Humble
932,حجة,ḥijjah,argument
933,تشارك,tushārik,Involved
934,سكة,sikkah,Railroad
935,ميزة,mayyazah,Feature
936,منصة,manaṣṣah,platform
937,شق,shaqq,incision
938,متاح,mutāḥ,Available
939,مطرقة,miṭraqah,Hammer
940,خدم,khadam,Served
941,قاضي,qāḍī,Judge
942,وحشي,waḥushī,brutal
943,صناعي,ṣinā‘ī,Artificial
944,دودة,dūdah,worm
945,رتب,ratab,sort
946,ملح,malaḥ,salt
947,مذاق,madhāq,Taste
948,سحاب,saḥāb,Zipper
949,ذبابة,dhubābah,Fly
950,صافي,ṣāfī,Clear
951,قاس,qās,harsh
952,أمضى,amaḍḍá,Go on
953,ضريبة,ḍarībah,tax
954,مصعد,miṣ‘ad,elevator
955,عظم,‘aẓam,bone
956,لف,laff,wrap
957,حالي,ḥāluy,current
958,شائع,shā’i‘,common
959,درب,darib,path
960,قرأ,qara’,read
961,شعاع,shu‘ā‘,Beam
962,طقس,ṭaqs,weather
963,تضمن,taḍumminn,Include
964,سنترال,sntrāl,Central
965,عاصمة,‘āṣimah,Capital
966,سماء,samā’,sky
967,ملعقة,mil‘aqah,Spoon
968,صمم,ṣammam,Deafness
969,مشغل,mushaghghil,Operator
970,طبخ,ṭabakh,cooking
971,مادي,māddī,material
972,بئر,bi’r,Well
973,اختراع,āikhtirā‘,invention
974,تكنولوجيا,tiknūlūjīā,technology
975,كثيف,kathīf,Dense
976,تفاحة,tuffāḥah,a Apple
977,مسحوق,masḥūq,powder
978,ذكري,dhakaruy,memory
979,قياس,qiyās,Measure
980,دكان,dukkān,shop
981,معدن,ma‘din,Metal
982,ثقافة,thaqāfah,culture
983,استعراض,āisti‘rāḍ,review
984,امتحان,āimtiḥān,Exam
985,تدرب,tadrab,training
986,جودة,jawdah,Quality
987,برتقال,burtuqāl,Orange
988,مفصول,mafṣūl,Disconnected
989,إنساني,insānī,Humanitarian
990,محور,maḥwar,Axis
991,نفط,nafiṭ,oil
992,مسمار,mismār,nail
993,ركل,rakal,kick
994,عضة,‘aḍḍah,bite
995,مجهود,majhūd,Effort
996,أمسية,umsīyah,Evening
997,إبرة,ibrah,needle
998,حرر,ḥarrar,freedom
999,نمو,numūw,growth
1000,درج,darij,Staircase
1001,مجموع,majmū‘,sum
1002,وضعية,waḍ‘īyah,Position
1003,مكتمل,muktamil,complete
1004,احترم,āiḥtaram,respect
1005,تيار,tayyār,Stream
1006,تلميذ,tilmīdh,Pupil
1007,مقبض,maqbiḍ,handle
1008,ضباب,ḍabāb,fog
1009,منحدر,munḥadir,slope
1010,عض,‘aḍḍ,bite
1011,شوكة,shawkah,a fork
1012,مقص,miqaṣṣ,a pair of scissors
1013,معدني,ma‘adanī,metallic
1014,قيم,qayyam,Valuable
1015,انطباع,āinṭibā‘,impression
1016,سكون,sukūn,sleep
1017,شتاء,shitā’,winter
1018,مشى,mashshá,Walk
1019,دبوس,dabbūs,pin
1020,ندم,nadim,Contrition
1021,عضلة,‘aḍilah,muscle
1022,رطب,raṭib,wet
1023,قدح,qadaḥ,glass
1024,بخار,bukhār,steam
1025,كيميائي,kīmyā’ī,Chemical
1026,تعيس,ta‘īs,unhappy
1027,خزنة,khazanah,safe
1028,تنورة,tannūrah,skirt
1029,حامض,ḥāmiḍ,Acid
1030,حبر,ḥabir,Ink
1031,مظلة,muẓillah,Parachute
1032,قياسي,qiyāsī,standard
1033,تمدد,tumaddid,expansion
1034,إيقاع,īqā‘,Rhythm
1035,طبع,ṭaba‘,print
1036,صفارة,ṣaffārah,whistle
1037,صرخ,ṣarakh,Shouted
1038,دهن,dahan,fat
1039,رمل,ramal,sand
1040,صابون,ṣābūn,soap
1041,صدم,ṣadam,Shocked
1042,عالج,‘ālaj,Treat
1043,ضجيج,ḍajīj,noise
1044,خاف,khāf,He was afraid
1045,مضخة,miḍakhkhah,pump
1046,اصطدم,āiṣṭadam,bumped into
1047,تقسيم,taqsīm,division
1048,بعثة,b‘thh,delegation
1049,صبور,ṣubūr,patient
1050,محكم,muḥḥukum,tight
1051,تمني,tumannī,Wish
1052,أنجب,anajubb,He begot
1053,خزي,khazī,shame
1054,عنزة,‘anazah,goat
1055,فضة,fiḍḍah,silver
1056,تفصيل,tafṣīl,Good
1057,سحق,saḥaq,crush
1058,ريش,rayyash,Feathers
1059,آذى,ādhá,hurt
1060,وصية,waṣīyah,Commandment
1061,وطن,waṭṭan,homeland
1062,لاصق,lāṣaq,Adhesive
1063,بذرة,bdhrh,seed
1064,خروف,kharūf,Lamb
1065,طور,ṭawwar,Develop
1066,جليد,jalīd,ice
1067,اعتيادي,āi‘tīāduy,regular
1068,أجاب,ajāb,He replied
1069,مستعمل,musta‘mil,used
1070,مركزي,markazī,central
1071,أسبق,asbiq,First
1072,منحنى,munḥaná,curve
1073,نحيف,naḥīf,Thin
1074,رمادي,ramādī,gray
1075,قفاز,quffāz,glove
1076,سكرتير,sikritīr,secretary
1077,اختصاصي,āikhtiṣāṣuy,specialist
1078,نملة,namilah,ant
1079,بت,batt,Bit
1080,غطى,ghaṭṭá,cover
1081,أنتج,antij,Produced
1082,اجتماعي,āijtimā‘uy,social
1083,قارورة,qārūrah,Flask
1084,ساكن,sākan,resident
1085,هش,hashsh,crisp
1086,فكة,fakkah,humorous
1087,ملأ,mala’,fill
1088,ملون,mulawwin,Colored
1089,نحيل,naḥīl,thin
1090,فحم,faḥam,coal
1091,استبدال,āistibdāl,Replace
1092,رف,raff,Rack
1093,خشن,khashun,rough
1094,أشار,ushārr,pointed out
1095,أرز,aruzz,rice
1096,فضي,fuḍī,silver
1097,عريض,‘arīḍ,wide
1098,استلام,āistilām,Receipt
1099,حافز,ḥāfiz,Incentive
1100,ميزان,mīzān,Balance
